,port0,port1,port2,port3,port4,baseline,index,hs300,zz500,zz1000,szzz
2013/2/28,0.03309545,0.034139683,0.036886913,0.04590981,0.033635894,0.03673355,0.01148175,-0.005044881,0.036946659,0.048507484,0.032266334
2013/3/31,-0.030202249,-0.043718968,-0.05274817,-0.062426965,-0.065606137,-0.050940498,-0.011328752,-0.066674971,-0.044596764,-0.027124377,-0.039860681
2013/4/30,-0.016521247,-0.026661656,-0.02268126,-0.023952122,-0.026111381,-0.023185533,-0.006944699,-0.019148461,-0.023067138,-0.022822731,-0.016463087
2013/5/31,0.156555755,0.128234985,0.149726413,0.134888775,0.142893848,0.142459955,0.046224991,0.065018433,0.140583402,0.160846446,0.134976518
2013/6/30,-0.159115896,-0.170481676,-0.158834511,-0.159610876,-0.150270707,-0.159662733,-0.049455466,-0.155687136,-0.157564606,-0.144589117,-0.143000579
2013/7/31,0.059885829,0.048460124,0.062892452,0.056624457,0.065997244,0.058772021,0.02293416,-0.003461722,0.060187368,0.082834297,0.062280326
2013/8/31,0.074766327,0.073349376,0.089524877,0.06996301,0.063572375,0.074235193,0.021299062,0.055124415,0.068033368,0.072108212,0.056986208
2013/9/30,0.07365921,0.061798105,0.065868733,0.048596941,0.051857519,0.060356102,0.025205723,0.041110933,0.056969587,0.069039171,0.060048099
2013/10/31,-0.004374669,0.009549877,-0.009063415,-0.028077782,-0.013435243,-0.009080246,-0.014453115,-0.014661045,-0.041071106,-0.044621051,-0.033608411
2013/11/30,0.093839538,0.073912722,0.079559141,0.080881335,0.071879179,0.080014383,0.024816122,0.027478412,0.062618392,0.087176918,0.06714807
2013/12/31,-0.023821417,-0.035990758,-0.029042142,-0.022517642,-0.016830818,-0.025640555,-0.010485433,-0.044657852,-0.029720126,-0.034552797,-0.029311593
2014/1/31,0.057328925,0.017849083,0.019621668,0.019848325,0.028973259,0.028724252,0.008554229,-0.054753037,0.014708432,0.051712065,0.022317085
2014/2/28,0.03093172,0.023618751,0.022780138,0.029724745,0.034722901,0.028355651,0.003849757,-0.010660401,0.023295575,0.027116374,0.008874757
2014/3/31,-0.04800991,-0.033778724,-0.018282043,-0.041347875,-0.038992715,-0.036082253,-0.020600948,-0.01499148,-0.034053173,-0.043211763,-0.046739056
2014/4/30,-0.013390636,-0.01077894,-0.01144359,-0.00770566,-0.00533337,-0.009730439,-0.004413517,0.005755939,-0.019363443,-0.023301901,-0.011832146
2014/5/31,0.042335097,0.032049339,0.037536608,0.027445871,0.02435498,0.032744379,0.009131029,-0.001016835,0.016745925,0.027164351,0.025473566
2014/6/30,0.05388472,0.057143294,0.048530806,0.050325643,0.052041325,0.052385158,0.01639206,0.004013051,0.024982777,0.050807264,0.040837921
2014/7/31,0.073916723,0.059732203,0.075916233,0.075924149,0.081665274,0.073430916,0.023543413,0.085507118,0.084624257,0.04733051,0.057649455
2014/8/31,0.034752737,0.042206932,0.048595459,0.065349306,0.059276967,0.05003628,0.017924645,-0.00509052,0.040129714,0.059760207,0.045036564
2014/9/30,0.127947162,0.120501532,0.124298419,0.108123209,0.137675541,0.123709173,0.038825082,0.048198104,0.110264982,0.130199366,0.100017653
2014/10/31,0.02106602,0.028097611,0.037254807,0.027429161,0.019632545,0.026696029,0.003842591,0.023393423,0.014299288,0.013297571,0.012744628
2014/11/30,0.079200995,0.073061868,0.096460399,0.053409487,0.076342457,0.075695041,0.021388864,0.11979867,0.051911232,0.043407139,0.051700188
2014/12/31,0.013805477,-0.054556768,-0.018709994,0.009871774,0.03350397,-0.003217108,0.003514013,0.258075013,0.014765121,-0.069555494,-0.003610457
2015/1/31,0.067358033,0.063163606,0.076443675,0.064026905,0.020794087,0.058357261,0.024546457,-0.028105063,0.058243595,0.08611784,0.068681189
2015/2/28,0.096423011,0.085287866,0.067079277,0.066965333,0.069618236,0.077074745,0.0308332,0.040313709,0.068481027,0.090931365,0.07779948
2015/3/31,0.214607498,0.216961413,0.247460497,0.19003488,0.230032506,0.219819359,0.07789865,0.133888055,0.205142243,0.229470275,0.201436642
2015/4/30,0.195499985,0.212761289,0.180057379,0.160533114,0.155861693,0.180942692,0.063744741,0.172462804,0.167730809,0.159411526,0.15797055
2015/5/31,0.240049809,0.359323606,0.267381023,0.227556594,0.249807222,0.268823651,0.085959101,0.019146354,0.176768572,0.279625048,0.231716755
2015/6/30,-0.13027157,-0.079548506,-0.056824768,-0.07081541,-0.085735988,-0.084639248,-0.050448653,-0.075985208,-0.106435366,-0.126330742,-0.117793799
2015/7/31,-0.173217572,-0.139517636,-0.120792634,-0.159997316,-0.155613344,-0.1498277,-0.058897294,-0.146724492,-0.132377804,-0.189592052,-0.143494955
2015/8/31,-0.13221808,-0.126680166,-0.13270368,-0.134330237,-0.134740506,-0.132134534,-0.061012455,-0.117945734,-0.14827735,-0.138034175,-0.151761898
2015/9/30,-0.02000078,-0.02956166,-0.016365771,-0.033655798,-0.040344011,-0.027985604,-0.017430299,-0.048592501,-0.069527968,-0.028042393,-0.041071099
2015/10/31,0.241134372,0.223381009,0.186772716,0.180021712,0.176589972,0.201579956,0.06889723,0.103383306,0.156970279,0.189033292,0.173627372
2015/11/30,0.126762483,0.110185191,0.130315684,0.092661484,0.127548782,0.117494725,0.02862958,0.009149032,0.0456499,0.088473943,0.09367698
2015/12/31,0.062963541,0.064839869,0.050255437,0.071806396,0.063893367,0.062751722,0.020789377,0.046150723,0.028250396,0.061311787,0.047785766
2016/1/31,-0.303749238,-0.273134614,-0.242602693,-0.257927515,-0.252293241,-0.26594146,-0.1151098,-0.210376176,-0.282049267,-0.304174173,-0.26829881
2016/2/29,-0.031165288,-0.027178846,-0.02410862,-0.019106008,-0.029225807,-0.026156914,-0.013468484,-0.023293109,-0.021702135,-0.027361089,-0.027272512
2016/3/31,0.203778156,0.190745314,0.189756817,0.192691857,0.174007829,0.190195994,0.070262106,0.118375414,0.150526134,0.175885291,0.163600683
2016/4/30,-0.014366827,0.017572176,0.022329944,-0.008171828,-0.016787358,0.000115221,-0.007759147,-0.019061878,-0.027651876,-0.018406239,-0.019985263
2016/5/31,0.006793011,-0.000330429,0.00699014,0.003666863,0.00312861,0.004049639,0.001534926,0.004059466,-0.006393952,-0.011353741,-0.000871935
2016/6/30,0.055888292,0.080934841,0.061215375,0.072898586,0.048594904,0.063906399,0.022219756,-0.004934061,0.029621986,0.066305427,0.054412642
2016/7/31,-0.019109606,0.004351329,-0.001917872,-0.007303368,-0.00412905,-0.005621713,-0.004215599,0.015856263,0.012966192,-0.027457531,-0.01655524
2016/8/31,0.051909619,0.060153025,0.048664199,0.050721767,0.042638485,0.050817419,0.015490275,0.038659829,0.037291958,0.039676088,0.047033435
2016/9/30,-0.027084339,-0.016596262,-0.009361103,-0.007921596,-0.002524236,-0.012697507,-0.007315976,-0.022389909,-0.016493819,-0.020067161,-0.018331691
2016/10/31,0.118445369,0.096123196,0.04142125,0.032349677,0.026281144,0.062924127,0.010009143,0.025510524,0.019614178,0.028805975,0.027394672
2016/11/30,0.021422831,0.029610774,0.034613201,0.020669523,0.027391467,0.026741559,0.011131882,0.06046355,0.020670729,0.011717053,0.027622623
2016/12/31,-0.063107775,-0.060076495,-0.06012525,-0.056487699,-0.062855346,-0.060530513,-0.027183685,-0.064420615,-0.048887435,-0.058131665,-0.065403126
2017/1/31,-0.021499597,-0.029777347,-0.034461624,-0.038034125,-0.016786752,-0.028111889,-0.007533622,0.023528066,-0.006373226,-0.033564381,-0.026303589
2017/2/28,0.041705185,0.076089045,0.076207692,0.054257913,0.029138438,0.055479655,0.014698246,0.01914122,0.036515863,0.036829157,0.043813678
2017/3/31,-0.013360459,-0.011565607,-0.022509207,-0.022694707,-0.01561407,-0.01714881,-0.000533181,0.000936976,-0.007645703,-0.01985637,-0.007419448
2017/4/30,-0.03588553,-0.03272601,-0.042401625,-0.057045637,-0.055913367,-0.044794434,-0.012577275,-0.004714203,-0.029646351,-0.05960609,-0.04004973
2017/5/31,-0.049348854,-0.059915956,-0.060445949,-0.062737623,-0.054204615,-0.057330599,-0.017654294,0.015446313,-0.062422213,-0.080257574,-0.051713472
2017/6/30,0.043258633,0.033839452,0.039465166,0.03020788,0.033179635,0.035990153,0.023047375,0.04979071,0.053922696,0.035086257,0.049430186
2017/7/31,0.014879961,0.021561951,-0.010898146,-0.019529957,-0.007497558,-0.00029675,-0.001235154,0.019383535,0.026041178,-0.002786735,-0.009796507
2017/8/31,0.043239336,0.036024797,0.043993031,0.044652922,0.035394631,0.040660944,0.013226627,0.022531422,0.027377817,0.031553412,0.03503983
2017/9/30,0.006339468,0.021163052,0.022785468,0.004977646,0.014357768,0.01392468,0.011206081,0.003769793,0.02052922,0.021187218,0.022392732
2017/10/31,-0.019006396,-0.014309367,-0.016703058,0.002705411,-0.03545093,-0.016552868,0.004733728,0.044367664,-0.006520008,-0.02691111,0.006936011
2017/11/30,-0.064462899,-0.04483953,-0.050586756,-0.062478078,-0.037334243,-0.051940301,-0.018156622,-0.000154391,-0.045240108,-0.062629733,-0.050157026
2017/12/31,-0.010621165,-0.012681334,-0.012262285,-0.02419311,-0.02248298,-0.016448175,0.001417888,0.006179477,-0.002011728,-0.019042416,-0.001320605
2018/1/31,-0.000207344,-0.0186588,-0.021489564,-0.018813881,-0.006574054,-0.013148729,-0.004060572,0.060791992,-0.009835412,-0.032254592,-0.011333231
2018/2/28,-0.045842183,-0.054286067,-0.056482757,-0.04253393,-0.042537345,-0.048336456,-0.012545615,-0.058995108,-0.026766063,-0.033456264,-0.035166083
2018/3/31,0.033124751,0.031955831,0.023582725,0.032488575,0.023185267,0.02886743,0.004532227,-0.031102125,0.015117212,0.035781183,0.023148144
2018/4/30,-0.023582566,-0.033061436,-0.040150805,-0.033935285,-0.04395112,-0.034936242,-0.017975629,-0.036327122,-0.041498849,-0.041421979,-0.041858654
2018/5/31,0.003063566,-0.018767347,-0.021837279,-0.013936458,-0.022852434,-0.01486599,-0.00047749,0.012110965,-0.018172547,-0.030977493,-0.00482927
2018/6/30,-0.084500405,-0.113064388,-0.098596541,-0.097875567,-0.107629575,-0.100333295,-0.036989584,-0.076634033,-0.093268341,-0.111895019,-0.09048066
