,000300.SH,000905.SH,000852.SH,399106.SZ
2013-01-31,0.06497547317586694,0.062205955077445196,0.06821261217258168,0.06246134396466507
2013-02-28,-0.005044881018221092,0.03694665939387942,0.048507484218333285,0.03226633397706502
2013-03-31,-0.0666749709257416,-0.0445967642028614,-0.02712437682124924,-0.0398606811145511
2013-04-30,-0.019148461193475352,-0.02306713834220253,-0.022822731411392683,-0.016463087378515207
2013-05-31,0.06501843251313888,0.14058340157837557,0.1608464459102239,0.13497651810505595
2013-06-30,-0.15568713633151288,-0.15756460580992793,-0.14458911694154808,-0.14300057926240584
2013-07-31,-0.0034617217998953453,0.06018736839372818,0.08283429670467868,0.06228032624369151
2013-08-31,0.05512441513327948,0.06803336769906698,0.07210821218386942,0.05698620839585766
2013-09-30,0.04111093344166372,0.056969587472994965,0.06903917075706723,0.06004809867753713
2013-10-31,-0.014661045056593158,-0.041071106276367564,-0.04462105123291938,-0.03360841076294463
2013-11-30,0.027478411504652245,0.06261839196150376,0.08717691765570823,0.06714807030464964
2013-12-31,-0.04465785192279947,-0.029720125998921043,-0.03455279650248755,-0.029311593305084593
2014-01-31,-0.05475303709057322,0.014708432486414624,0.05171206512983573,0.022317085277474558
2014-02-28,-0.010660400917160362,0.023295575042672434,0.027116374200661486,0.008874757345304518
2014-03-31,-0.014991479923321727,-0.0340531734847378,-0.04321176312187614,-0.04673905570350145
2014-04-30,0.005755938694640417,-0.01936344301941184,-0.023301901249010104,-0.011832145855431131
2014-05-31,-0.0010168349887592631,0.016745924905142262,0.02716435087483604,0.025473566406345016
2014-06-30,0.004013050994591039,0.024982777252288813,0.05080726374947209,0.0408379209130052
2014-07-31,0.08550711785685605,0.08462425695615927,0.047330509784524244,0.057649455134283434
2014-08-31,-0.005090520118915087,0.0401297143910857,0.0597602069599954,0.04503656424540092
2014-09-30,0.048198103996643704,0.11026498239902205,0.1301993659806917,0.10001765303698207
2014-10-31,0.023393423386813827,0.014299287710488828,0.013297571099309957,0.012744628246055711
2014-11-30,0.1197986704274765,0.05191123243628293,0.043407139440229114,0.05170018763448736
2014-12-31,0.25807501302148705,0.014765120631609507,-0.06955549367191771,-0.0036104565242033315
2015-01-31,-0.028105062533516523,0.05824359527864931,0.08611783950944997,0.06868118861694272
2015-02-28,0.04031370927588296,0.06848102731039019,0.09093136479914676,0.07779948002761206
2015-03-31,0.1338880549747079,0.20514224312752294,0.22947027452684776,0.20143664216641088
2015-04-30,0.1724628036504703,0.16773080876821855,0.15941152561304928,0.15797055049445907
2015-05-31,0.019146354249343966,0.17676857182089534,0.27962504751735917,0.23171675471927736
2015-06-30,-0.07598520831865785,-0.10643536645748963,-0.12633074157858815,-0.11779379891696196
2015-07-31,-0.1467244918709546,-0.13237780439797342,-0.1895920518336428,-0.14349495541399215
2015-08-31,-0.11794573389630159,-0.14827735016657306,-0.13803417504730042,-0.15176189767755666
2015-09-30,-0.04859250127111359,-0.06952796818178852,-0.0280423931745023,-0.04107109941853649
2015-10-31,0.1033833055334188,0.1569702792452845,0.1890332916070807,0.17362737217348756
2015-11-30,0.009149031991024126,0.045649900085682926,0.08847394345594516,0.0936769800383155
2015-12-31,0.04615072256650521,0.028250396023496993,0.06131178738589438,0.047785765694956295
2016-01-31,-0.210376175618326,-0.2820492671727607,-0.30417417279777614,-0.2682988097831571
2016-02-29,-0.023293108948259644,-0.021702135409072953,-0.027361088847920323,-0.027272512030684926
2016-03-31,0.11837541398395368,0.15052613398424142,0.17588529149065343,0.16360068274961903
2016-04-30,-0.019061878328432202,-0.027651876020031607,-0.01840623887313475,-0.019985263117159313
2016-05-31,0.004059466188765182,-0.006393951878460147,-0.011353741335385137,-0.0008719349538659493
2016-06-30,-0.004934060559450559,0.029621985853667487,0.06630542732324152,0.054412642020039925
2016-07-31,0.015856262728204173,0.012966192388956355,-0.027457530741671454,-0.01655523976580342
2016-08-31,0.03865982856556416,0.037291958140237114,0.03967608766226238,0.0470334345408705
2016-09-30,-0.022389908893994614,-0.016493818985058528,-0.020067161175075898,-0.01833169115827704
2016-10-31,0.025510524009456415,0.01961417841756119,0.028805975370796322,0.027394672397921926
2016-11-30,0.06046355012763027,0.02067072938064074,0.011717053486546058,0.027622622515212525
2016-12-31,-0.064420614917859,-0.04888743547718566,-0.058131664720447174,-0.06540312590476094
2017-01-31,0.02352806614267533,-0.006373225756022172,-0.0335643813558556,-0.02630358920761977
2017-02-28,0.019141220237331114,0.036515863112494884,0.036829157408355906,0.04381367753101628
2017-03-31,0.0009369758888868596,-0.007645702775773144,-0.01985636980933636,-0.007419447599998352
2017-04-30,-0.00471420298141334,-0.029646350902866714,-0.059606090129466605,-0.04004973035623749
2017-05-31,0.015446312569536325,-0.06242221334458409,-0.08025757393543287,-0.05171347166950435
2017-06-30,0.0497907102281796,0.05392269595725985,0.035086257207741944,0.049430186408585985
2017-07-31,0.0193835345756872,0.026041177581096253,-0.002786734852246786,-0.009796506968010377
2017-08-31,0.022531422414222124,0.027377816616207307,0.031553411750977034,0.03503982952652929
2017-09-30,0.0037697933446305676,0.020529220495361766,0.021187217858216645,0.02239273198836922
2017-10-31,0.04436766383996793,-0.006520008068137684,-0.026911110354274626,0.006936011195621816
2017-11-30,-0.00015439070467138105,-0.045240107878329446,-0.06262973310186914,-0.05015702569236192
2017-12-31,0.006179477378406517,-0.0020117280955567196,-0.019042415520357125,-0.001320605270054176
2018-01-31,0.06079199228927856,-0.009835412492314788,-0.032254592017569306,-0.011333231122583554
2018-02-28,-0.05899510806921383,-0.026766063135022167,-0.03345626351216646,-0.035166082930618514
2018-03-31,-0.03110212477925789,0.015117211630039318,0.03578118286099663,0.023148144059683906
2018-04-30,-0.036327121598660916,-0.041498849451968356,-0.04142197904519051,-0.04185865430292724
2018-05-31,0.012110965053016898,-0.018172547010709916,-0.030977493343196327,-0.004829270421183196
2018-06-30,-0.07663403294766302,-0.09326834112709437,-0.11189501866465368,-0.09048066020872614
2018-07-01,0.0019004071365169573,-0.005567077838299461,-0.011766422173858704,-0.019415708055567915
